"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "Docker", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\proveedor\proveedor.service.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\reporte\mail.service.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 4, 42
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\reporte\pdf.service.ts", "TypeScript", 0, 0, 0, 193, 0, 0, 0, 0, 58, 251
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\reporte\reporte.controller.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 6, 17, 76
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\reporte\reporte.module.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 2, 32
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\reporte\reporte.service.ts", "TypeScript", 0, 0, 0, 123, 0, 0, 0, 0, 42, 165
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\rol\rol.controller.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 8, 47
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\rol\rol.module.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 8, 33
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\rol\rol.service.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 0, 10, 57
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\tcliente\tcliente.controller.ts", "TypeScript", 0, 0, 0, 87, 0, 0, 0, 0, 24, 111
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\tcliente\tcliente.module.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 7, 4, 62
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\tcliente\tcliente.service.ts", "TypeScript", 0, 0, 0, 252, 0, 0, 0, 0, 47, 299
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\tenant\tenant.controller.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 12, 37
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\tenant\tenant.module.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 2, 38
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\tenant\tenant.service.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 0, 0, 21, 104
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\usuario\usuario.controller.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 16, 64
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\usuario\usuario.module.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 2, 45
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\usuario\usuario.service.ts", "TypeScript", 0, 0, 0, 124, 0, 0, 0, 1, 28, 153
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\venta\venta.controller.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 15, 51
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\venta\venta.module.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 3, 42
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\venta\venta.service.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 0, 0, 18, 101
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\visitante\visitante.controller.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 6, 35
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\visitante\visitante.module.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 2, 41
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\visitante\visitante.service.ts", "TypeScript", 0, 0, 0, 84, 0, 0, 0, 0, 30, 114
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\app.controller.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\app.module.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 0, 2, 18, 69
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\app.service.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\email\email-verification.ejs", "HTML", 0, 0, 0, 0, 0, 0, 251, 35, 26, 312
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\guards\auth\auth.guard.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 10, 36
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\guards\cliente\cliente.guard.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 13, 45
